City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Kupino,RU,54.37,77.3,64.38,66,48,11.7,scattered clouds,0.0,0
1,Port Maria,JM,18.37,-76.89,88.0,80,7,8.01,clear sky,0.0,0
2,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds,0.0,0
3,Castro,BR,-24.79,-50.01,68.22,59,7,7.52,clear sky,0.0,0
4,Mataura,NZ,-46.19,168.86,39.0,83,55,3.0,broken clouds,0.0,0
5,East London,ZA,-33.02,27.91,55.62,65,83,23.96,light rain,0.46,0
6,Punta Arenas,CL,-53.15,-70.92,39.2,80,75,16.11,broken clouds,0.0,0
7,Lagoa,PT,39.05,-27.98,69.71,78,0,13.53,clear sky,0.0,0
8,Luderitz,NA,-26.65,15.16,64.4,39,0,18.34,clear sky,0.0,0
9,Kavieng,PG,-2.57,150.8,82.08,71,100,6.17,overcast clouds,0.0,0
10,Okha,RU,53.57,142.95,51.49,95,63,9.48,broken clouds,0.0,0
11,Aktas,KZ,49.78,72.96,68.56,62,5,8.34,clear sky,0.0,0
12,Tiznit,MA,29.58,-9.5,87.06,33,0,7.14,clear sky,0.0,0
13,Shimoda,JP,34.67,138.95,66.0,95,98,13.13,overcast clouds,0.0,0
14,Ushuaia,AR,-54.8,-68.3,30.2,92,75,3.36,heavy snow,0.0,0
15,Clyde River,CA,70.47,-68.59,62.6,55,75,12.75,broken clouds,0.0,0
16,Flinders,AU,-34.58,150.86,53.01,83,90,5.01,light rain,0.51,0
17,Bredasdorp,ZA,-34.53,20.04,46.4,87,8,4.7,clear sky,0.0,0
18,Necochea,AR,-38.55,-58.74,48.0,66,82,11.01,broken clouds,0.0,0
19,Kahului,US,20.89,-156.47,78.8,69,40,10.29,scattered clouds,0.0,0
20,Severo-Kurilsk,RU,50.68,156.12,51.22,91,97,8.34,overcast clouds,0.0,0
21,Ponta Do Sol,PT,32.67,-17.1,78.01,68,0,5.17,clear sky,0.0,0
22,Ulety,RU,51.36,112.48,62.85,82,0,1.61,clear sky,0.0,0
23,Chokurdakh,RU,70.63,147.92,35.8,84,55,15.35,broken clouds,0.0,0
24,Inongo,CD,-1.95,18.27,72.25,78,100,3.33,overcast clouds,0.0,0
25,Nabire,ID,-3.37,135.48,74.55,90,66,3.69,broken clouds,0.0,0
26,Touros,BR,-5.2,-35.46,84.2,58,20,10.29,few clouds,0.0,0
27,Gat,IL,31.61,34.76,82.99,65,0,1.01,clear sky,0.0,0
28,Albany,US,42.6,-73.97,82.99,47,0,9.13,light rain,0.21,0
29,Svay Rieng,KH,11.09,105.8,79.92,86,100,6.08,light rain,0.47,0
30,Rio Grande,BR,-32.03,-52.1,55.4,32,0,11.41,clear sky,0.0,0
31,Baculin,PH,7.45,126.58,78.26,79,58,3.96,broken clouds,0.0,0
32,Arraial Do Cabo,BR,-22.97,-42.03,73.4,88,75,10.29,broken clouds,0.0,0
33,Cherskiy,RU,68.75,161.3,41.61,70,0,11.63,clear sky,0.0,0
34,Comodoro Rivadavia,AR,-45.87,-67.5,46.4,64,99,2.24,overcast clouds,0.0,0
35,Cape Town,ZA,-33.93,18.42,50.0,71,20,4.7,few clouds,0.0,0
36,Gamba,GA,-2.65,10.0,71.02,88,100,5.35,overcast clouds,0.0,0
37,Qaanaaq,GL,77.48,-69.36,42.28,72,93,7.74,overcast clouds,0.0,0
38,Butaritari,KI,3.07,172.79,81.5,75,100,8.99,moderate rain,1.77,0
39,Salalah,OM,17.02,54.09,80.6,94,90,8.05,overcast clouds,0.0,0
40,Penzance,GB,50.12,-5.54,60.01,77,75,12.75,broken clouds,0.0,0
41,Guerrero Negro,MX,27.98,-114.06,80.92,44,0,12.84,clear sky,0.0,0
42,Rikitea,PF,-23.12,-134.97,71.94,82,100,18.01,overcast clouds,0.0,0
43,Nikolskoye,RU,59.7,30.79,61.0,63,66,13.42,broken clouds,0.0,0
44,Dikson,RU,73.51,80.55,40.21,91,98,10.47,overcast clouds,0.0,0
45,Cidreira,BR,-30.18,-50.21,52.21,47,0,15.1,clear sky,0.0,0
46,Tuktoyaktuk,CA,69.45,-133.04,57.2,67,75,4.7,broken clouds,0.0,0
47,Tiksi,RU,71.69,128.87,40.08,79,20,3.18,few clouds,0.0,0
48,Camacha,PT,33.08,-16.33,73.4,73,20,23.04,few clouds,0.0,0
49,Ahipara,NZ,-35.17,173.17,58.82,89,100,10.4,overcast clouds,0.0,0
50,Airai,TL,-8.93,125.41,54.46,82,0,3.71,clear sky,0.0,0
51,Bethel,US,41.37,-73.41,82.99,51,75,9.17,broken clouds,0.0,0
52,Aksarka,RU,66.56,67.8,53.15,72,71,4.12,broken clouds,0.0,0
53,Port Blair,IN,11.67,92.75,81.63,82,99,8.68,light rain,0.19,0
54,Fare,PF,-16.7,-151.02,80.65,79,58,12.77,broken clouds,0.0,0
55,Zhigansk,RU,66.77,123.37,57.6,66,49,5.48,scattered clouds,0.0,0
56,Vaini,TO,-21.2,-175.2,69.8,77,40,8.05,scattered clouds,0.0,0
57,Sokoni,TZ,-6.43,39.55,78.8,74,20,9.17,few clouds,0.0,0
58,Hermanus,ZA,-34.42,19.23,44.01,90,70,4.43,broken clouds,0.0,0
59,Kamenka,RU,51.32,42.77,71.01,82,100,5.01,overcast clouds,0.0,0
60,Busselton,AU,-33.65,115.33,43.0,92,94,1.01,overcast clouds,0.0,0
61,Mount Gambier,AU,-37.83,140.77,39.2,93,40,4.41,scattered clouds,0.0,0
62,Adrar,MR,20.5,-10.07,107.64,12,13,8.9,few clouds,0.0,0
63,Yamada,JP,39.47,141.95,62.65,91,100,8.68,light rain,0.16,0
64,Jamestown,US,42.1,-79.24,73.99,64,90,4.7,overcast clouds,0.0,0
65,Kapaa,US,22.08,-159.32,77.0,88,90,17.22,light rain,0.51,0
66,Atuona,PF,-9.8,-139.03,79.45,78,1,21.23,clear sky,0.0,0
67,Longyearbyen,SJ,78.22,15.64,48.2,66,75,4.7,broken clouds,0.0,0
68,Whitehorse,CA,60.72,-135.05,51.8,66,75,8.05,broken clouds,0.0,0
69,Oranjestad,AW,12.52,-70.03,91.4,59,20,21.92,few clouds,0.0,0
70,Geraldton,AU,-28.77,114.6,51.8,93,75,8.05,broken clouds,0.0,0
71,Aasiaat,GL,68.71,-52.87,38.89,88,98,5.7,overcast clouds,0.0,0
72,Kenora,CA,49.82,-94.43,66.2,63,75,12.75,broken clouds,0.0,0
73,Mariinsk,RU,56.21,87.75,60.55,83,3,8.37,clear sky,0.0,0
74,Honiara,SB,-9.43,159.95,71.6,100,40,6.44,scattered clouds,0.0,0
75,Hilo,US,19.73,-155.09,75.2,88,90,9.17,moderate rain,3.56,0
76,Nome,US,64.5,-165.41,52.0,81,90,4.7,light rain,0.0,0
77,Greiz,DE,50.65,12.2,72.0,42,87,4.41,overcast clouds,0.0,0
78,Sungai Petani,MY,5.65,100.49,82.4,88,20,3.36,few clouds,0.0,0
79,Altay,CN,47.87,88.12,58.98,54,90,5.26,overcast clouds,0.0,0
80,Lebu,CL,-37.62,-73.65,55.33,58,8,4.29,clear sky,0.0,0
81,Ribeira Grande,PT,38.52,-28.7,75.2,73,20,17.22,few clouds,0.0,0
82,Hobart,AU,-42.88,147.33,44.6,93,90,5.82,overcast clouds,0.0,0
83,Neiafu,TO,-18.65,-173.98,71.6,83,40,4.7,scattered clouds,0.0,0
84,Palimbang,PH,6.21,124.19,78.46,78,99,4.12,light rain,0.13,0
85,Ambon,ID,-3.7,128.18,77.0,94,75,2.24,light rain,0.0,0
86,Ugoofaaru,MV,5.67,73.0,83.59,75,100,8.63,light rain,0.45,0
87,Klaksvik,FO,62.23,-6.59,53.6,87,91,4.7,overcast clouds,0.0,0
88,Bambous Virieux,MU,-20.34,57.76,71.6,88,40,9.17,shower rain,0.0,0
89,Olinda,BR,-8.01,-34.86,82.4,65,20,11.41,few clouds,0.0,0
90,Husavik,IS,66.04,-17.34,50.0,93,90,11.41,light intensity drizzle,0.0,0
91,Garissa,KE,-0.45,39.64,78.53,56,19,20.83,few clouds,0.0,0
92,Poya,NC,-21.35,165.15,70.39,71,100,3.22,overcast clouds,0.0,0
93,Naze,JP,28.37,129.48,82.4,94,20,10.29,few clouds,0.0,0
94,Susaki,JP,33.37,133.28,71.02,75,99,7.36,overcast clouds,0.0,0
95,Fortuna,US,40.6,-124.16,64.0,77,1,5.82,clear sky,0.0,0
96,Nador,MA,35.17,-2.93,78.8,74,40,6.93,scattered clouds,0.0,0
97,Te Anau,NZ,-45.42,167.72,34.74,88,53,1.59,broken clouds,0.0,0
98,Latung,PH,5.5,120.88,83.08,72,0,3.98,clear sky,0.0,0
99,Dhidhdhoo,MV,6.88,73.1,83.98,75,98,11.52,light rain,0.51,0
100,Bengkulu,ID,-3.8,102.27,77.05,80,99,6.46,overcast clouds,0.0,0
101,Madang,PG,-5.22,145.8,76.14,86,68,2.95,broken clouds,0.0,0
102,Barvinkove,UA,48.91,37.02,59.61,85,72,13.78,broken clouds,0.0,0
103,Pangkalanbuun,ID,-2.68,111.62,73.81,98,100,1.59,overcast clouds,0.0,0
104,San Salvo,IT,42.04,14.73,69.01,56,2,1.01,clear sky,0.0,0
105,Yellowknife,CA,62.46,-114.35,55.4,93,90,18.34,light rain,0.0,0
106,Port Alfred,ZA,-33.59,26.89,53.76,71,97,17.54,light rain,0.53,0
107,Jinxiang,CN,22.86,115.7,84.09,81,91,9.73,overcast clouds,0.0,0
108,Hithadhoo,MV,-0.6,73.08,84.7,70,55,5.91,light rain,0.47,0
109,Iqaluit,CA,63.75,-68.51,53.6,76,75,3.36,broken clouds,0.0,0
110,Karancslapujto,HU,48.15,19.73,71.01,46,20,4.7,few clouds,0.0,0
111,Sao Filipe,CV,14.9,-24.5,78.4,85,86,9.66,overcast clouds,0.0,0
112,New Norfolk,AU,-42.78,147.06,44.01,75,29,3.0,scattered clouds,0.0,0
113,Alice Town,BS,25.72,-79.3,84.85,68,96,4.76,overcast clouds,0.0,0
114,Avarua,CK,-21.21,-159.78,68.0,72,3,8.05,clear sky,0.0,0
115,Olga,RU,43.74,135.29,55.87,93,10,5.03,clear sky,0.0,0
116,Dingle,PH,11.0,122.67,77.41,87,78,3.0,broken clouds,0.0,0
117,Sinnamary,GF,5.38,-52.95,82.31,76,59,6.71,light rain,0.52,0
118,Chenghai,CN,23.46,116.77,78.8,94,99,2.24,overcast clouds,0.0,0
119,Gdov,RU,58.74,27.81,60.76,58,33,8.61,scattered clouds,0.0,0
120,Krasnokamensk,RU,50.1,118.04,62.13,79,67,3.06,broken clouds,0.0,0
121,Puerto Ayora,EC,-0.74,-90.35,72.0,85,98,5.01,overcast clouds,0.0,0
122,Selfoss,IS,63.93,-21.0,57.99,82,100,4.0,overcast clouds,0.0,0
123,Thompson,CA,55.74,-97.86,57.2,100,90,13.87,light rain,0.0,0
124,Det Udom,TH,14.91,105.08,80.6,100,89,1.12,moderate rain,1.79,0
125,Hovd,MN,48.01,91.64,55.71,74,96,2.04,light rain,0.32,0
126,Griffith,US,41.53,-87.42,84.99,51,1,8.05,clear sky,0.0,0
127,Littleton,US,39.61,-105.02,77.0,43,75,8.05,broken clouds,0.0,0
128,Leh,IN,34.17,77.58,61.77,30,64,6.69,broken clouds,0.0,0
129,Yulara,AU,-25.24,130.99,41.0,52,0,5.82,clear sky,0.0,0
130,Imeni Poliny Osipenko,RU,52.42,136.49,57.4,91,0,4.59,clear sky,0.0,0
131,Hasaki,JP,35.73,140.83,68.0,94,75,6.93,broken clouds,0.0,0
132,Victoria,HK,22.29,114.16,87.01,70,58,13.0,broken clouds,0.0,0
133,Sorland,NO,67.67,12.69,55.4,87,1,12.75,clear sky,0.0,0
134,Goderich,CA,43.75,-81.72,77.0,69,17,3.31,few clouds,0.0,0
135,North Bend,US,43.41,-124.22,73.0,72,1,18.34,clear sky,0.0,0
136,Severodvinsk,RU,64.56,39.83,57.2,93,90,2.24,overcast clouds,0.0,0
137,Kyra,RU,49.58,111.98,63.39,79,85,1.54,overcast clouds,0.0,0
138,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,73,75,16.11,broken clouds,0.0,0
139,Lakselv,NO,70.05,24.97,55.4,62,14,9.17,few clouds,0.0,0
140,Lumphat,KH,13.49,106.98,75.72,92,100,2.48,light rain,0.83,0
141,Corpus Christi,US,27.8,-97.4,93.2,59,20,14.99,few clouds,0.0,0
142,Mumbwa,ZM,-14.98,27.06,61.7,30,0,6.76,clear sky,0.0,0
143,Shiraz,IR,29.6,52.54,87.8,10,20,6.93,few clouds,0.0,0
144,Ahar,IR,38.48,47.07,69.64,63,15,2.95,light rain,0.34,0
145,Tocache,PE,-8.18,-76.51,87.01,50,45,0.65,light rain,0.31,0
146,Saint George,US,37.1,-113.58,100.0,14,1,9.17,clear sky,0.0,0
147,Padang,ID,-0.95,100.35,79.03,71,99,4.05,overcast clouds,0.0,0
148,Eyrarbakki,IS,63.86,-21.15,57.99,82,90,10.29,shower rain,0.0,0
149,Boysun,UZ,38.21,67.2,78.4,25,8,4.7,clear sky,0.0,0
150,Pontianak,ID,-0.03,109.33,74.1,93,100,2.19,overcast clouds,0.0,0
151,Gao,ML,16.64,1.64,97.84,28,71,8.3,broken clouds,0.0,0
152,Saint-Philippe,RE,-21.36,55.77,69.8,88,7,6.93,clear sky,0.0,0
153,Kruisfontein,ZA,-34.0,24.73,45.77,86,47,8.08,light rain,0.12,0
154,Mogadishu,SO,2.04,45.34,77.92,83,41,17.76,scattered clouds,0.0,0
155,Bluff,NZ,-46.6,168.33,39.0,83,61,3.0,broken clouds,0.0,0
