City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Maria,JM,88.0,clear sky,18.37,-76.89,Galina Breeze Hotel
2,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
9,Kavieng,PG,82.08,overcast clouds,-2.57,150.8,Nusa Island Retreat
12,Tiznit,MA,87.06,clear sky,29.58,-9.5,
19,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
21,Ponta Do Sol,PT,78.01,clear sky,32.67,-17.1,Hotel do Campo
26,Touros,BR,84.2,few clouds,-5.2,-35.46,INN NEW HORIZON
27,Gat,IL,82.99,clear sky,31.61,34.76,רגע בנחת
31,Baculin,PH,78.26,broken clouds,7.45,126.58,Shovy's Cove
39,Salalah,OM,80.6,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
41,Guerrero Negro,MX,80.92,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
51,Bethel,US,82.99,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
54,Fare,PF,80.65,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
57,Sokoni,TZ,78.8,few clouds,-6.43,39.55,Ujamaa Beach Resort
66,Atuona,PF,79.45,clear sky,-9.8,-139.03,Villa Enata
69,Oranjestad,AW,91.4,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
78,Sungai Petani,MY,82.4,few clouds,5.65,100.49,Swiss-Inn Sungai Petani
81,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
85,Ambon,ID,77.0,light rain,-3.7,128.18,Swiss-Belhotel Ambon
89,Olinda,BR,82.4,few clouds,-8.01,-34.86,Hotel 5 Sóis
91,Garissa,KE,78.53,few clouds,-0.45,39.64,Almond Resort
93,Naze,JP,82.4,few clouds,28.37,129.48,奄美ポートタワーホテル
96,Nador,MA,78.8,scattered clouds,35.17,-2.93,Hôtel La Giralda
98,Latung,PH,83.08,clear sky,5.5,120.88,
100,Bengkulu,ID,77.05,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
101,Madang,PG,76.14,broken clouds,-5.22,145.8,Comfort Inn Hotel
107,Jinxiang,CN,84.09,overcast clouds,22.86,115.7,Haiyun Holiday Hotel
111,Sao Filipe,CV,78.4,overcast clouds,14.9,-24.5,Tortuga B&B
113,Alice Town,BS,84.85,overcast clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
116,Dingle,PH,77.41,broken clouds,11.0,122.67,Camp Pasica
118,Chenghai,CN,78.8,overcast clouds,23.46,116.77,Guangdong Hotel
126,Griffith,US,84.99,clear sky,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
127,Littleton,US,77.0,broken clouds,39.61,-105.02,Hampton Inn & Suites Denver/Highlands Ranch
132,Victoria,HK,87.01,broken clouds,22.29,114.16,Mini Hotel Central
134,Goderich,CA,77.0,few clouds,43.75,-81.72,Harmony Inn
138,Sao Joao Da Barra,BR,77.0,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
141,Corpus Christi,US,93.2,few clouds,27.8,-97.4,Holiday Inn Corpus Christi Downtown Marina
143,Shiraz,IR,87.8,few clouds,29.6,52.54,Shams Hotel
147,Padang,ID,79.03,overcast clouds,-0.95,100.35,Mercure Padang
149,Boysun,UZ,78.4,clear sky,38.21,67.2,Gaza Hotel
154,Mogadishu,SO,77.92,scattered clouds,2.04,45.34,Hotel Juba
156,Yinchuan,CN,76.26,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
157,Itarema,BR,83.28,clear sky,-2.92,-39.92,Windvillage
158,Tramagal,PT,88.0,scattered clouds,39.45,-8.25,Hotel Conforto Latino
160,Hun,LY,89.98,clear sky,29.13,15.95,Alrwasi Hotel
164,Faanui,PF,78.46,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Neka,IR,78.21,scattered clouds,36.65,53.3,برق خودرو کولر مجید
180,Sitges,ES,80.01,overcast clouds,41.24,1.81,URH Sitges Playa
185,San Javier,ES,79.0,few clouds,37.81,-0.84,Hotel Mar Menor
192,Korla,CN,82.99,scattered clouds,41.76,86.15,Gulisitan Hotel
194,Denpasar,ID,78.8,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
195,Boston,US,82.0,broken clouds,42.36,-71.06,XV Beacon Hotel
196,Faya,SA,84.2,few clouds,18.39,42.45,مقبرة ال مجمل
198,Bontang,ID,76.55,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
200,Bandarbeyla,SO,78.64,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
201,Tautira,PF,75.2,shower rain,-17.73,-149.15,Pension Oaoa
203,Umm Lajj,SA,84.81,clear sky,25.02,37.27,Moon light Furnished Units
205,Luwuk,ID,76.69,broken clouds,-0.95,122.79,Hotel Santika Luwuk
208,Belmonte,BR,78.8,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
214,Ha Noi,VN,86.0,overcast clouds,21.02,105.84,Sofitel Legend Metropole Hanoi
216,Ponta Delgada,PT,77.0,few clouds,37.73,-25.67,Vila Nova Hotel
219,Teguise,ES,78.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
220,Turkmenabat,TM,95.0,scattered clouds,39.07,63.58,Jeyhun Oteli
222,Marzuq,YE,86.34,broken clouds,14.4,46.47,
228,Asyut,EG,91.4,clear sky,27.18,31.18,Florence Hotel Assiut
230,Zhezkazgan,KZ,80.4,clear sky,47.8,67.71,Kvartiry Posutochno.
232,Kanniyakumari,IN,82.27,overcast clouds,8.08,77.57,New Cape Hotel
234,Lorengau,PG,82.22,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
236,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
237,Piacabucu,BR,79.54,clear sky,-10.41,-36.43,Piaçabuçu News
243,Cumana,VE,83.97,scattered clouds,10.46,-64.18,TIUNA INN HOTEL
250,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
255,Zinder,NE,91.4,thunderstorm,13.81,8.99,hôtel central
260,Hobyo,SO,79.12,overcast clouds,5.35,48.53,Osmani Hotel
262,Russell,US,93.2,broken clouds,32.35,-85.2,Macs
265,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
266,Pochutla,MX,87.8,scattered clouds,15.74,-96.47,Hotel Posada San Jose
271,Powell,US,86.0,clear sky,40.16,-83.08,The Brig
273,Viransehir,TR,87.1,scattered clouds,37.24,39.76,Viranşehir Öğretmenevi
274,North Vernon,US,84.0,clear sky,39.01,-85.62,Quality Inn North Vernon Near Hwy 50
276,Dahegam,IN,84.2,haze,23.17,72.82,Malhaar Resort
283,The Valley,AI,89.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
284,La Rioja,ES,75.2,broken clouds,42.25,-2.5,Casa Concejos
287,Pachino,IT,78.01,clear sky,36.72,15.09,La Vignazza B&B
290,Brownsville,US,93.99,broken clouds,25.9,-97.5,Hotel Alameda Express
292,Oktyabrskiy,RU,75.42,clear sky,54.48,53.47,Уязы-Тау гостиница
293,Fatima,PT,79.0,few clouds,39.62,-8.65,Hotel Santa Maria
295,Nouakchott,MR,82.4,dust,18.09,-15.98,Hôtel Iman
296,Xilitla,MX,89.26,clear sky,21.33,-98.97,Rio Tancuilin
304,Cabo San Lucas,MX,93.2,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
305,Barda,AZ,81.28,overcast clouds,40.37,47.13,Kral Hotel
306,Namatanai,PG,78.75,overcast clouds,-3.67,152.43,Namatanai Hotel
309,Mazagao,BR,91.4,scattered clouds,-0.12,-51.29,Casa Lima Santos
315,Ijero,NG,80.6,few clouds,6.48,3.38,The Snug
316,Tarifa,ES,89.6,haze,36.01,-5.61,Hotel la Mirada
317,Cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
321,Carmen,MX,89.6,scattered clouds,18.63,-91.83,Hotel Lossandes
323,Peniche,PT,75.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
326,Gaziantep,TR,86.0,clear sky,37.06,37.38,Novotel Gaziantep
