City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Cape Town,ZA,-33.93,18.42,60.01,58,75,8.05,broken clouds,0.0,0.0
1,Carnarvon,AU,-24.87,113.63,59.0,72,0,6.93,clear sky,0.0,0.0
2,Grand Gaube,MU,-20.01,57.66,73.0,66,92,11.99,overcast clouds,0.0,0.0
3,Ushuaia,AR,-54.8,-68.3,30.2,80,40,1.99,scattered clouds,0.0,0.0
4,Saskylakh,RU,71.92,114.08,66.49,77,80,11.83,light rain,0.6,0.0
5,Mar Del Plata,AR,-38.0,-57.56,43.0,80,0,16.11,clear sky,0.0,0.0
6,La Ronge,CA,55.1,-105.28,57.2,93,75,3.36,broken clouds,0.0,0.0
7,Castro,BR,-24.79,-50.01,70.18,63,45,12.46,scattered clouds,0.0,0.0
8,Rikitea,PF,-23.12,-134.97,68.36,67,55,20.36,broken clouds,0.0,0.0
9,Thompson,CA,55.74,-97.86,57.2,87,75,3.36,broken clouds,0.0,0.0
10,Mataura,NZ,-46.19,168.86,44.2,89,100,4.81,overcast clouds,0.0,0.0
11,Yellowknife,CA,62.46,-114.35,66.0,100,75,5.82,broken clouds,0.0,0.0
12,Grand Forks,US,47.93,-97.03,68.0,88,75,3.18,broken clouds,0.0,0.0
13,Mahebourg,MU,-20.41,57.7,71.6,68,75,14.99,shower rain,0.0,0.0
14,Pangoa,PE,-12.12,-73.0,75.67,60,1,2.33,clear sky,0.0,0.0
15,Belaya Gora,RU,68.53,146.42,60.8,67,54,4.61,broken clouds,0.0,0.0
16,Balotra,IN,25.83,72.23,94.35,58,99,22.88,overcast clouds,0.0,0.0
17,Puerto Ayora,EC,-0.74,-90.35,66.99,93,100,4.0,overcast clouds,0.0,0.0
18,Samarai,PG,-10.62,150.67,77.72,88,99,15.79,moderate rain,1.3,0.0
19,Belmonte,BR,-15.86,-38.88,78.8,65,20,5.82,few clouds,0.0,0.0
20,Solec Kujawski,PL,53.08,18.23,64.0,59,75,9.17,broken clouds,0.0,0.0
21,Busselton,AU,-33.65,115.33,46.0,68,0,11.52,clear sky,0.0,0.0
22,Iqaluit,CA,63.75,-68.51,37.4,93,90,10.29,overcast clouds,0.0,0.0
23,Yulara,AU,-25.24,130.99,42.8,48,0,6.93,clear sky,0.0,0.0
24,Khatanga,RU,71.97,102.5,53.89,78,100,14.76,overcast clouds,0.0,0.0
25,Katsuura,JP,35.13,140.3,80.01,94,75,13.87,broken clouds,0.0,0.0
26,Abeche,TD,13.83,20.83,84.34,49,3,11.7,clear sky,0.0,0.0
27,Butembo,CD,0.15,29.28,70.38,78,91,0.43,moderate rain,1.0,0.0
28,Sitka,US,57.05,-135.33,53.6,93,90,3.91,light rain,0.2,0.0
29,Port Blair,IN,11.67,92.75,83.01,81,100,9.84,overcast clouds,0.0,0.0
30,Albany,US,42.6,-73.97,81.0,82,98,8.55,overcast clouds,0.0,0.0
31,Jamestown,US,42.1,-79.24,73.0,83,90,9.17,overcast clouds,0.0,0.0
32,Hithadhoo,MV,-0.6,73.08,84.54,75,10,10.74,clear sky,0.0,0.0
33,Aklavik,CA,68.22,-135.01,44.6,93,20,2.24,few clouds,0.0,0.0
34,Kolyvan,RU,55.31,82.74,71.6,68,40,2.24,scattered clouds,0.0,0.0
35,Airai,TL,-8.93,125.41,57.74,100,43,3.67,scattered clouds,0.0,0.0
36,Hobart,AU,-42.88,147.33,46.4,87,75,5.82,broken clouds,0.0,0.0
37,Vaini,TO,-21.2,-175.2,71.6,83,75,9.17,light intensity drizzle,0.0,0.0
38,Bluff,NZ,-46.6,168.33,49.86,78,100,25.03,overcast clouds,0.0,0.0
39,Hirado,JP,33.36,129.55,75.2,100,75,5.82,heavy intensity shower rain,0.0,0.0
40,Cabedelo,BR,-6.98,-34.83,82.4,69,75,13.87,broken clouds,0.0,0.0
41,Odawara,JP,35.26,139.16,78.01,93,100,10.0,overcast clouds,0.0,0.0
42,Ucluelet,CA,48.93,-125.55,57.0,93,90,5.82,overcast clouds,0.0,0.0
43,Skelleftea,SE,64.75,20.95,59.0,58,27,6.93,scattered clouds,0.0,0.0
44,Barrow,US,71.29,-156.79,33.8,86,90,6.93,mist,0.0,0.0
45,Severo-Kurilsk,RU,50.68,156.12,50.72,88,100,3.33,overcast clouds,0.0,0.0
46,Oksfjord,NO,70.24,22.35,62.6,51,40,6.93,scattered clouds,0.0,0.0
47,Moron,AR,-34.65,-58.62,54.0,57,0,9.17,clear sky,0.0,0.0
48,Ancud,CL,-41.87,-73.82,41.0,93,75,8.05,broken clouds,0.0,0.0
49,Bairiki,KI,1.33,172.98,82.4,74,40,8.05,scattered clouds,0.0,0.0
50,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,78.96,76,37,13.62,light rain,0.4,0.0
51,Punta Arenas,CL,-53.15,-70.92,33.01,87,75,14.99,broken clouds,0.0,0.0
52,Port Alfred,ZA,-33.59,26.89,52.0,95,99,8.99,light rain,0.7,0.0
53,Vila Do Maio,CV,15.13,-23.22,86.0,51,40,12.75,scattered clouds,0.0,0.0
54,Tuatapere,NZ,-46.13,167.68,44.89,89,100,5.23,light rain,0.4,0.0
55,Winnemucca,US,40.97,-117.74,48.2,34,1,6.93,clear sky,0.0,0.0
56,Kodiak,US,57.79,-152.41,52.99,84,0,1.95,clear sky,0.0,0.0
57,Manzhouli,CN,49.6,117.43,67.8,70,95,9.62,light rain,0.2,0.0
58,Pleven,BG,43.42,24.62,89.6,29,5,2.24,clear sky,0.0,0.0
59,Mehamn,NO,71.04,27.85,51.87,73,97,4.83,overcast clouds,0.0,0.0
60,Loubomo,CG,-4.2,12.67,87.19,45,93,6.62,overcast clouds,0.0,0.0
61,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds,0.0,0.0
62,Thinadhoo,MV,0.53,72.93,84.38,74,35,10.31,scattered clouds,0.0,0.0
63,Hilo,US,19.73,-155.09,73.4,78,75,6.93,broken clouds,0.0,0.0
64,Camacha,PT,33.08,-16.33,73.4,69,40,17.22,scattered clouds,0.0,0.0
65,Burnie,AU,-41.07,145.92,46.99,84,97,3.0,overcast clouds,0.0,0.0
66,East London,ZA,-33.02,27.91,64.4,36,82,28.86,light rain,0.6,0.0
67,Ulundi,ZA,-28.34,31.42,57.56,55,58,9.31,light rain,0.4,0.0
68,Faanui,PF,-16.48,-151.75,77.76,79,4,18.5,clear sky,0.0,0.0
69,Dikson,RU,73.51,80.55,43.25,86,68,13.15,broken clouds,0.0,0.0
70,Puerto Escondido,MX,15.85,-97.07,77.0,83,90,0.18,overcast clouds,0.0,0.0
71,Namibe,AO,-15.2,12.15,73.4,56,0,11.41,clear sky,0.0,0.0
72,Batouri,CM,4.43,14.37,83.52,62,80,2.37,light rain,0.3,0.0
73,Aguimes,ES,27.91,-15.45,82.4,54,20,29.97,few clouds,0.0,0.0
74,Ponta Do Sol,PT,32.67,-17.1,78.8,57,20,20.8,few clouds,0.0,0.0
75,Shakawe,BW,-18.37,21.85,77.13,18,0,8.63,clear sky,0.0,0.0
76,Nikolskoye,RU,59.7,30.79,68.0,49,85,13.42,overcast clouds,0.0,0.0
77,Narsaq,GL,60.92,-46.05,53.6,76,75,2.24,broken clouds,0.0,0.0
78,Bethel,US,41.37,-73.41,79.0,78,40,9.17,scattered clouds,0.0,0.0
79,Razgrad,BG,43.53,26.52,82.11,46,2,9.84,clear sky,0.0,0.0
80,Kaitangata,NZ,-46.28,169.85,48.0,58,100,4.0,overcast clouds,0.0,0.0
81,Taua,BR,-5.97,-40.3,85.86,35,9,13.91,clear sky,0.0,0.0
82,Tuktoyaktuk,CA,69.45,-133.04,35.6,100,90,4.7,mist,0.0,0.0
83,Ploemeur,FR,47.73,-3.43,72.0,43,99,8.05,overcast clouds,0.0,0.0
84,Barpeta,IN,26.32,91.0,86.0,94,75,6.93,light rain,0.0,0.0
85,Ribeira Grande,PT,38.52,-28.7,73.4,73,20,8.05,few clouds,0.0,0.0
86,Goderich,CA,43.75,-81.72,69.01,86,100,19.06,moderate rain,1.6,0.0
87,Touros,BR,-5.2,-35.46,78.8,78,75,11.41,broken clouds,0.0,0.0
88,Murgab,TM,37.5,61.97,100.4,15,0,16.11,clear sky,0.0,0.0
89,Sisimiut,GL,66.94,-53.67,47.57,68,98,5.95,overcast clouds,0.0,0.0
90,Adre,TD,13.47,22.2,81.95,51,51,8.81,broken clouds,0.0,0.0
91,Saint-Philippe,RE,-21.36,55.77,73.4,64,75,2.24,broken clouds,0.0,0.0
92,Gejiu,CN,23.31,103.16,58.32,100,100,6.42,overcast clouds,0.0,0.0
93,Atuona,PF,-9.8,-139.03,79.74,76,32,22.12,scattered clouds,0.0,0.0
94,Avarua,CK,-21.21,-159.78,71.6,88,100,3.36,light rain,0.5,0.0
95,Goure,NE,13.98,10.27,95.0,40,4,4.0,clear sky,0.0,0.0
96,Esperance,AU,-33.87,121.9,48.2,81,21,5.82,few clouds,0.0,0.0
97,Brae,GB,60.4,-1.35,55.4,76,20,11.41,few clouds,0.0,0.0
98,Torbay,CA,47.67,-52.73,66.0,77,20,4.7,few clouds,0.0,0.0
99,New Norfolk,AU,-42.78,147.06,46.0,90,59,2.42,broken clouds,0.0,0.0
100,Lebu,CL,-37.62,-73.65,50.11,79,100,11.01,light rain,0.2,0.0
101,Udachnyy,RU,66.42,112.4,71.6,43,90,6.71,overcast clouds,0.0,0.0
102,Vila Velha,BR,-20.33,-40.29,77.0,64,40,1.88,scattered clouds,0.0,0.0
103,Pevek,RU,69.7,170.31,49.06,75,100,1.32,overcast clouds,0.0,0.0
104,Hofn,IS,64.25,-15.21,55.4,76,20,12.75,few clouds,0.0,0.0
105,Tokur,RU,53.13,132.9,58.41,91,0,1.86,clear sky,0.0,0.0
106,Leningradskiy,RU,69.38,178.42,38.05,81,0,12.66,clear sky,0.0,0.0
107,Marzuq,YE,14.4,46.47,99.39,10,36,16.84,scattered clouds,0.0,0.0
108,Mitsamiouli,KM,-11.38,43.28,82.4,65,75,10.29,broken clouds,0.0,0.0
109,Kapaa,US,22.08,-159.32,78.8,78,90,14.99,overcast clouds,0.0,0.0
110,Price,US,39.6,-110.81,71.6,15,1,3.36,clear sky,0.0,0.0
111,Kirkenes,NO,69.73,30.05,53.6,81,75,16.11,broken clouds,0.0,0.0
112,Coquimbo,CL,-29.95,-71.34,50.0,100,40,6.93,fog,0.0,0.0
113,Ola,RU,59.58,151.28,49.44,93,11,1.57,few clouds,0.0,0.0
114,Acapulco,MX,16.86,-99.89,77.0,94,90,5.82,overcast clouds,0.0,0.0
115,Bafoussam,CM,5.47,10.42,68.36,94,100,3.22,moderate rain,2.4,0.0
116,Chokurdakh,RU,70.63,147.92,47.03,78,0,9.98,clear sky,0.0,0.0
117,Bandrele,YT,-12.91,45.19,80.6,69,5,10.29,clear sky,0.0,0.0
118,Douentza,ML,15.0,-2.95,96.85,33,87,8.81,overcast clouds,0.0,0.0
119,San Patricio,MX,19.22,-104.7,84.2,74,40,2.59,scattered clouds,0.0,0.0
120,Iskateley,RU,67.68,53.15,65.98,47,0,14.97,clear sky,0.0,0.0
121,Waingapu,ID,-9.66,120.26,74.97,85,15,10.31,few clouds,0.0,0.0
122,Saint George,US,37.1,-113.58,79.0,25,1,5.82,clear sky,0.0,0.0
123,Kano,NG,12.0,8.52,92.8,37,0,5.57,clear sky,0.0,0.0
124,Diamantino,BR,-14.41,-56.45,86.38,33,0,11.56,clear sky,0.0,0.0
