City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Pangoa,PE,75.67,clear sky,-12.12,-73.0,
16,Balotra,IN,94.35,overcast clouds,25.83,72.23,Hotel City Square
18,Samarai,PG,77.72,moderate rain,-10.62,150.67,Nuli Sapi
19,Belmonte,BR,78.8,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
25,Katsuura,JP,80.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
26,Abeche,TD,84.34,clear sky,13.83,20.83,Assaleh Hamdan Haroune
29,Port Blair,IN,83.01,overcast clouds,11.67,92.75,Hotel Sentinel
30,Albany,US,81.0,overcast clouds,42.6,-73.97,
32,Hithadhoo,MV,84.54,clear sky,-0.6,73.08,Scoop Guest House
39,Hirado,JP,75.2,heavy intensity shower rain,33.36,129.55,Samson Hotel
40,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
41,Odawara,JP,78.01,overcast clouds,35.26,139.16,Boston Inn Odawara
49,Bairiki,KI,82.4,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
50,Sao Jose Da Coroa Grande,BR,78.96,light rain,-8.9,-35.15,Crôa Mares Hotel
53,Vila Do Maio,CV,86.0,scattered clouds,15.13,-23.22,Residence 'I Delfini'
58,Pleven,BG,89.6,clear sky,43.42,24.62,Хотел Ростов
60,Loubomo,CG,87.19,overcast clouds,-4.2,12.67,La Dolisienne
61,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
62,Thinadhoo,MV,84.38,scattered clouds,0.53,72.93,
68,Faanui,PF,77.76,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Puerto Escondido,MX,77.0,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
72,Batouri,CM,83.52,light rain,4.43,14.37,Hotel Hollywood
73,Aguimes,ES,82.4,few clouds,27.91,-15.45,Hotel Villa de Aguimes
74,Ponta Do Sol,PT,78.8,few clouds,32.67,-17.1,Hotel do Campo
75,Shakawe,BW,77.13,clear sky,-18.37,21.85,Ditlhapi Guest House
78,Bethel,US,79.0,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
79,Razgrad,BG,82.11,clear sky,43.53,26.52,Interrum
81,Taua,BR,85.86,clear sky,-5.97,-40.3,Hotel São Silvestre
84,Barpeta,IN,86.0,light rain,26.32,91.0,MJ GUEST HOUSE
87,Touros,BR,78.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
90,Adre,TD,81.95,broken clouds,13.47,22.2,
93,Atuona,PF,79.74,scattered clouds,-9.8,-139.03,Villa Enata
95,Goure,NE,95.0,clear sky,13.98,10.27,
102,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
108,Mitsamiouli,KM,82.4,broken clouds,-11.38,43.28,Foyer ADM
109,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
114,Acapulco,MX,77.0,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
117,Bandrele,YT,80.6,clear sky,-12.91,45.19,Les Baobabs
119,San Patricio,MX,84.2,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
122,Saint George,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
123,Kano,NG,92.8,clear sky,12.0,8.52,La Sultana Hotel
124,Diamantino,BR,86.38,clear sky,-14.41,-56.45,Hotel Delta
127,Hebi,CN,79.0,light rain,35.9,114.19,Wangfu Hotel
129,Vavuniya,LK,79.57,overcast clouds,8.75,80.5,Thampa Hotel
132,Dwarka,IN,85.37,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
133,Natal,BR,78.8,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
134,Butaritari,KI,82.99,light rain,3.07,172.79,Isles Sunset Lodge
138,Mana,GF,84.33,scattered clouds,5.66,-53.78,LE SAMANA
139,Kasamwa,TZ,84.6,broken clouds,-2.85,32.43,
140,Gangoh,IN,93.45,clear sky,29.77,77.25,Malik electrician and electronic
145,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
147,Fairview,US,84.0,light rain,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
150,Luau,AO,92.1,clear sky,-10.71,22.22,Kimbo Hotel
153,Astara,AZ,87.8,few clouds,38.5,48.67,
155,Belawan,ID,78.8,scattered clouds,3.78,98.68,Lilik Hidayat Pulungan
163,Magaria,NE,93.72,clear sky,13.0,8.91,Chez Honorable Chapiou
165,Benjamin Constant,BR,78.8,broken clouds,-4.38,-70.03,CASA AVALIADA
166,Pinerolo,IT,84.0,light rain,44.88,7.35,Glicini Hotel
170,Sao Filipe,CV,75.81,scattered clouds,14.9,-24.5,Tortuga B&B
173,Sao Joao Da Barra,BR,75.2,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
174,Broome,US,77.0,broken clouds,42.25,-75.83,Chenango Valley State Park
176,Benghazi,LY,80.37,clear sky,32.12,20.07,Tibesti Hotel
177,Culpeper,US,84.0,scattered clouds,38.5,-77.97,Loose Lodge
179,Goksun,TR,93.2,few clouds,38.02,36.5,Tuğçe Otel
181,Itoman,JP,84.2,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
183,Kralendijk,BQ,86.0,broken clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
186,Asfi,MA,78.24,clear sky,32.3,-9.24,Hôtel Abda
187,Jambusar,IN,89.6,scattered clouds,22.05,72.8,Hotel Imeprial
189,Mayo,US,81.0,clear sky,38.89,-76.51,Resorts Resource Group International
190,Asau,RO,87.8,clear sky,46.43,26.4,Casa Mika Ciobanus
192,Laela,TZ,79.7,broken clouds,-8.57,32.05,
195,Nakambala,ZM,84.94,scattered clouds,-15.83,27.78,Staff Area
199,Chegutu,ZW,81.77,clear sky,-18.13,30.14,Jacaranda Lodge
201,Villa Sandino,NI,78.8,scattered clouds,12.05,-84.99,Salón Rossmary
204,Kutum,SD,82.24,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
205,Hasaki,JP,80.6,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
209,Victoria,HK,86.0,broken clouds,22.29,114.16,Mini Hotel Central
210,Bengkulu,ID,79.16,light rain,-3.8,102.27,Grage Hotel Bengkulu
214,Urumqi,CN,78.8,few clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
215,Kupang,ID,77.11,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
216,Santa Isabel Do Rio Negro,BR,80.28,moderate rain,-0.41,-65.02,Hotel GSA
217,Bardiyah,LY,83.1,clear sky,31.76,25.09,بورتو بردية
225,Korla,CN,77.0,broken clouds,41.76,86.15,Gulisitan Hotel
228,Tautira,PF,75.2,broken clouds,-17.73,-149.15,Pension Oaoa
