City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Current Temp
0,Mataura,NZ,-46.19,168.86,42.44,91,99,5.19,overcast clouds,0.0,0.0,42.44
1,Palana,RU,59.12,159.97,54.55,91,60,3.44,broken clouds,0.0,0.0,54.55
2,Punta Arenas,CL,-53.15,-70.92,32.0,88,75,11.41,broken clouds,0.0,0.0,32.0
3,Puerto Ayora,EC,-0.74,-90.35,70.0,90,100,3.0,overcast clouds,0.0,0.0,70.0
4,Faanui,PF,-16.48,-151.75,77.95,81,33,21.56,scattered clouds,0.0,0.0,77.95
5,Rikitea,PF,-23.12,-134.97,67.51,66,79,19.06,broken clouds,0.0,0.0,67.51
6,Rocha,UY,-34.48,-54.33,54.91,70,100,11.97,overcast clouds,0.0,0.0,54.91
7,Klaksvik,FO,62.23,-6.59,48.2,66,64,11.41,broken clouds,0.0,0.0,48.2
8,Safaga,EG,26.73,33.94,89.6,33,0,11.41,clear sky,0.0,0.0,89.6
9,Ponta Delgada,PT,37.73,-25.67,68.0,77,75,5.82,broken clouds,0.0,0.0,68.0
10,Hermanus,ZA,-34.42,19.23,48.99,91,88,11.01,light rain,0.5,0.0,48.99
11,Kenai,US,60.55,-151.26,60.8,72,75,5.82,moderate rain,1.02,0.0,60.51
12,Busselton,AU,-33.65,115.33,39.99,82,0,11.01,clear sky,0.0,0.0,36.12
13,Jamestown,US,42.1,-79.24,87.8,43,20,9.17,few clouds,0.0,0.0,87.8
14,Sitka,US,57.05,-135.33,57.2,87,90,6.93,overcast clouds,0.0,0.0,57.2
15,Vardo,NO,70.37,31.11,46.4,100,75,9.17,broken clouds,0.0,0.0,46.4
16,Luderitz,NA,-26.65,15.16,55.4,93,0,12.75,clear sky,0.0,0.0,55.4
17,Corinto,GR,37.94,22.96,73.0,44,0,1.99,clear sky,0.0,0.0,73.0
18,Mokhsogollokh,RU,61.47,128.92,60.06,83,59,4.9,broken clouds,0.0,0.0,60.06
19,Caceres,ES,39.52,-6.37,87.01,39,0,1.01,clear sky,0.0,0.0,87.01
20,Hobart,AU,-42.88,147.33,39.99,93,90,5.82,overcast clouds,0.0,0.0,38.21
21,Cherskiy,RU,68.75,161.3,55.31,77,82,8.88,broken clouds,0.0,0.0,55.31
